City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Labuhan,ID,2020-05-23 14:03:16,-6.88,112.21,81.9,80,8,4.68
111,Harper,LR,2020-05-23 14:03:16,4.38,-7.72,83.41,74,30,9.1
112,Nova Olimpia,BR,2020-05-23 14:03:16,-14.8,-57.29,58.75,88,100,7.67
113,Thinadhoo,MV,2020-05-23 14:03:16,0.53,72.93,84.06,79,100,17.05
114,Westport,US,2020-05-23 14:03:16,41.14,-73.36,66.0,100,90,6.93
115,Karratha,AU,2020-05-23 14:03:16,-20.74,116.85,72.95,47,0,19.91
116,Port Lincoln,AU,2020-05-23 14:03:17,-34.73,135.87,57.18,78,97,12.97
117,Kota Belud,MY,2020-05-23 14:03:17,6.35,116.43,84.2,83,20,4.7
118,Matamoros,MX,2020-05-23 14:03:17,25.53,-103.25,78.8,27,75,5.08
119,Byron Bay,AU,2020-05-23 14:03:17,-28.65,153.62,51.8,66,38,11.41
120,Chokurdakh,RU,2020-05-23 14:03:17,70.63,147.92,23.68,97,98,4.34
121,Lorengau,PG,2020-05-23 14:03:17,-2.02,147.27,81.81,78,100,3.62
122,Kozhva,RU,2020-05-23 14:03:18,65.11,57.05,40.59,79,100,8.34
123,Mogadishu,SO,2020-05-23 13:59:24,2.04,45.34,84.2,66,20,18.34
124,Aykhal,RU,2020-05-23 14:03:18,66.0,111.5,73.4,28,98,2.24
125,Pudozh,RU,2020-05-23 14:03:18,61.81,36.53,54.73,39,0,5.57
126,Matara,LK,2020-05-23 14:03:18,5.95,80.54,81.52,84,61,10.51
127,Hede,CN,2020-05-23 14:03:18,33.77,120.25,72.07,72,100,8.99
128,Mahebourg,MU,2020-05-23 14:03:18,-20.41,57.7,75.2,64,40,9.17
129,Tabou,CI,2020-05-23 14:03:19,4.42,-7.35,83.61,73,13,9.15
130,Ostrovnoy,RU,2020-05-23 14:03:19,68.05,39.51,41.76,88,41,14.74
131,Lasa,IT,2020-05-23 13:58:40,46.62,10.7,64.4,59,5,10.29
132,Tocopilla,CL,2020-05-23 14:03:19,-22.09,-70.2,70.02,42,5,1.92
133,Mattru,SL,2020-05-23 14:03:19,7.62,-11.83,84.47,78,93,5.73
134,Fukue,JP,2020-05-23 14:03:19,32.69,128.84,67.64,77,21,4.54
135,Caravelas,BR,2020-05-23 13:58:41,-17.71,-39.25,83.89,64,21,2.8
136,Rawson,AR,2020-05-23 14:03:20,-43.3,-65.1,56.14,36,100,11.7
137,Maniitsoq,GL,2020-05-23 14:03:20,65.42,-52.9,39.88,74,0,9.4
138,Deputatskiy,RU,2020-05-23 13:58:47,69.3,139.9,29.52,100,100,6.06
139,Hilo,US,2020-05-23 14:03:20,19.73,-155.09,69.8,83,20,5.82
140,Talnakh,RU,2020-05-23 14:03:20,69.49,88.4,53.6,100,100,4.47
141,Lebu,CL,2020-05-23 14:03:21,-37.62,-73.65,53.53,57,100,5.03
142,Maldonado,UY,2020-05-23 14:03:21,-34.67,-54.92,64.0,67,75,25.28
143,Kuching,MY,2020-05-23 14:00:07,1.55,110.33,80.6,88,40,4.7
144,Vieques,PR,2020-05-23 14:03:21,18.43,-65.83,86.0,66,40,3.36
145,Micheweni,TZ,2020-05-23 14:03:21,-4.97,39.83,80.82,72,6,15.93
146,Hadejia,NG,2020-05-23 14:03:21,12.45,10.04,100.81,23,17,1.19
147,Auki,SB,2020-05-23 14:03:21,-8.77,160.7,79.14,87,100,3.13
